GEO_ID,NAME,B25014_001E,B25014_001M,B25014_002E,B25014_002M,B25014_003E,B25014_003M,B25014_004E,B25014_004M,B25014_005E,B25014_005M,B25014_006E,B25014_006M,B25014_007E,B25014_007M,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,B25014_013M
0500000US06095,"Solano County, California",149067,608,90420,1131,65075,1092,22962,1007,1773,238,444,143,166,79,58647,1070,30193,935,23142,963,3751,375,1230,234,331,174
0500000US06011,"Colusa County, California",7113,174,4371,242,2996,207,1171,182,166,78,13,14,25,28,2742,259,1019,159,1433,192,175,73,84,50,31,38
0500000US06031,"Kings County, California",42735,539,22114,725,13665,645,7314,533,902,184,160,82,73,44,20621,763,8531,536,9742,676,1820,346,428,164,100,76
0500000US06019,"Fresno County, California",304624,1206,160944,1741,104965,1614,47856,1328,6349,586,1146,194,628,165,143680,1727,60790,1306,62751,1624,13510,777,3984,550,2645,416
0500000US06111,"Ventura County, California",271226,1122,171554,1692,120891,1709,45239,1290,4189,397,851,200,384,103,99672,1663,47182,1383,40022,1158,8145,616,3166,403,1157,214
0500000US08123,"Weld County, Colorado",102101,520,74144,902,54830,942,18016,807,1122,192,134,68,42,31,27957,881,15163,855,11233,680,1010,214,375,122,176,82
0500000US08027,"Custer County, Colorado",2083,169,1777,158,1537,205,187,57,0,12,53,79,0,12,306,92,239,88,65,40,2,4,0,12,0,12
0500000US08035,"Douglas County, Colorado",117426,587,92775,801,77474,947,14876,690,360,107,65,54,0,28,24651,786,15248,674,8508,588,501,169,372,130,22,21
0500000US08067,"La Plata County, Colorado",21793,489,15377,452,11972,426,3106,305,247,119,52,45,0,28,6416,546,4333,463,1849,318,125,81,107,84,2,4
0500000US08105,"Rio Grande County, Colorado",4504,269,2982,192,2243,167,562,145,157,60,20,31,0,19,1522,238,1088,206,405,160,15,24,14,18,0,19
0500000US08011,"Bent County, Colorado",1744,158,1119,111,850,95,247,75,22,30,0,17,0,17,625,127,354,89,258,75,13,14,0,17,0,17
0500000US08111,"San Juan County, Colorado",266,41,178,34,134,34,38,22,6,8,0,12,0,12,88,31,72,29,16,11,0,12,0,12,0,12
0500000US08075,"Logan County, Colorado",8183,233,5054,269,4211,255,732,162,102,78,0,22,9,16,3129,308,2179,328,835,195,115,105,0,22,0,22
0500000US08119,"Teller County, Colorado",10183,361,8242,330,6820,346,1353,257,57,52,12,19,0,22,1941,244,1224,229,603,160,69,56,45,60,0,22
0500000US08039,"Elbert County, Colorado",9046,103,8116,156,6715,206,1301,158,72,41,11,19,17,25,930,134,637,126,267,82,26,22,0,22,0,22
0500000US08073,"Lincoln County, Colorado",1520,533,1040,298,881,223,157,90,2,5,0,17,0,17,480,256,319,166,154,100,7,12,0,17,0,17
0500000US08003,"Alamosa County, Colorado",6153,209,3428,210,2461,219,923,142,34,28,0,19,10,17,2725,271,1827,264,746,197,31,31,57,42,64,83
0500000US08043,"Fremont County, Colorado",17163,511,12876,504,10740,514,1977,241,109,79,34,28,16,25,4287,374,2801,309,1416,279,28,30,42,54,0,25
0500000US08085,"Montrose County, Colorado",17125,282,12111,364,9687,323,2076,277,281,119,67,58,0,25,5014,332,3208,368,1695,267,82,67,29,37,0,25
0500000US08109,"Saguache County, Colorado",2645,153,1982,148,1567,125,300,80,57,35,58,62,0,17,663,122,435,99,199,61,12,11,17,22,0,17
0500000US08053,"Hinsdale County, Colorado",387,44,277,41,200,43,77,24,0,12,0,12,0,12,110,31,54,19,46,21,5,7,5,9,0,12
0500000US08049,"Grand County, Colorado",5823,423,4009,342,3043,298,909,183,57,53,0,19,0,19,1814,284,884,178,863,191,28,25,39,39,0,19
0500000US08089,"Otero County, Colorado",7691,252,4784,248,3831,231,910,138,43,36,0,19,0,19,2907,331,1961,276,885,219,48,36,13,17,0,19
0500000US09005,"Litchfield County, Connecticut",73987,840,57079,851,46321,849,10443,547,212,79,65,46,38,39,16908,693,11510,641,4976,508,267,109,132,81,23,22
0500000US09011,"New London County, Connecticut",107402,932,71459,882,58319,887,12642,586,387,128,50,35,61,47,35943,1101,23181,943,11874,583,630,173,194,118,64,72
0500000US12129,"Wakulla County, Florida",11068,375,8927,454,6286,353,2542,350,49,45,50,58,0,28,2141,357,1453,315,560,208,98,84,16,26,14,22
0500000US09001,"Fairfield County, Connecticut",340491,1330,229169,1763,183109,1864,43625,987,1784,281,376,132,275,119,111322,1745,58970,1485,45629,1471,4904,495,1443,233,376,160
0500000US10001,"Kent County, Delaware",64545,689,44554,877,35762,960,8190,695,551,202,51,56,0,27,19991,828,12222,862,7051,593,575,203,96,86,47,38
0500000US12057,"Hillsborough County, Florida",516478,2014,299839,2672,233864,2418,61863,1491,2856,336,975,203,281,114,216639,2550,128559,2237,75164,1852,6586,589,3927,494,2403,404
0500000US12045,"Gulf County, Florida",5359,300,4037,288,3297,278,714,191,6,12,14,22,6,10,1322,219,792,186,515,163,9,12,6,11,0,21
0500000US12097,"Osceola County, Florida",99158,1445,60600,1512,42500,1349,17054,993,918,227,104,71,24,28,38558,1404,19362,1248,16860,1112,1734,390,523,211,79,102
0500000US12131,"Walton County, Florida",26432,726,19551,606,15203,578,4061,434,252,106,9,13,26,34,6881,568,4250,483,2110,432,489,184,23,26,9,14
0500000US12065,"Jefferson County, Florida",5771,260,4486,256,3546,284,892,199,15,18,27,37,6,9,1285,241,940,216,304,96,28,24,13,23,0,21
0500000US12049,"Hardee County, Florida",7772,316,5143,323,3220,275,1577,260,292,121,20,19,34,56,2629,357,1438,283,909,224,170,82,112,94,0,25
0500000US12093,"Okeechobee County, Florida",13759,384,9874,413,7250,371,2297,268,230,117,97,59,0,28,3885,353,2168,311,1403,256,263,120,51,42,0,28
0500000US12041,"Gilchrist County, Florida",6511,223,5441,277,4043,269,1343,198,52,39,0,21,3,5,1070,214,730,187,305,85,26,26,9,12,0,21
0500000US12001,"Alachua County, Florida",97048,1341,53194,980,42982,1084,9711,523,449,116,13,14,39,35,43854,1275,29362,1282,13215,837,863,236,301,134,113,83
0500000US12015,"Charlotte County, Florida",76150,1016,60547,953,52037,910,7983,578,351,112,163,82,13,19,15603,756,9775,749,5083,482,549,151,170,94,26,27
0500000US12085,"Martin County, Florida",63865,985,49903,1015,43116,1051,6415,464,282,112,38,40,52,41,13962,865,9167,677,3959,528,699,172,137,96,0,31
0500000US12115,"Sarasota County, Florida",180551,1748,133220,1762,114755,1527,17415,955,803,301,212,95,35,32,47331,1532,31733,1365,14106,887,1101,251,391,168,0,31
0500000US12017,"Citrus County, Florida",62762,1091,51119,958,44406,959,6197,516,402,152,105,62,9,15,11643,775,7695,529,3495,484,352,136,101,109,0,31
0500000US12113,"Santa Rosa County, Florida",61345,755,46265,1099,35692,1041,9999,717,453,166,69,56,52,59,15080,1033,9176,854,5403,625,438,199,54,48,9,12
0500000US12011,"Broward County, Florida",682088,3587,423316,3819,308269,3271,105536,2478,7203,712,1842,290,466,131,258772,3513,136141,3030,104516,2391,12446,944,4617,628,1052,243
0500000US12087,"Monroe County, Florida",30982,702,18465,596,14292,501,3833,312,229,81,55,36,56,33,12517,594,6375,501,5351,439,401,156,304,102,86,73
0500000US13313,"Whitfield County, Georgia",36043,612,22741,677,16442,669,5287,589,893,269,103,73,16,22,13302,753,6802,638,5170,626,1121,258,150,94,59,61
0500000US13285,"Troup County, Georgia",24843,462,14232,510,11049,537,2963,355,194,106,20,34,6,9,10611,635,6746,628,3642,486,149,75,62,65,12,18
0500000US13145,"Harris County, Georgia",12158,326,10457,322,8139,347,2196,326,72,58,50,44,0,28,1701,267,925,207,736,184,37,45,0,28,3,6
0500000US13321,"Worth County, Georgia",8038,221,5339,342,4379,348,914,176,33,28,9,8,4,6,2699,281,1659,307,1036,225,0,25,4,8,0,25
0500000US13109,"Evans County, Georgia",4006,159,2670,178,2007,200,624,135,39,31,0,21,0,21,1336,194,741,155,510,109,67,52,10,19,8,12
0500000US13307,"Webster County, Georgia",1101,93,871,97,623,114,242,65,6,10,0,13,0,13,230,79,207,75,23,37,0,13,0,13,0,13
0500000US13125,"Glascock County, Georgia",1105,79,840,80,689,85,106,45,45,27,0,13,0,13,265,54,226,53,27,18,2,3,10,13,0,13
0500000US13051,"Chatham County, Georgia",108151,1182,58545,1097,47880,1106,10241,776,367,147,27,26,30,36,49606,1287,33659,1151,14404,893,1254,285,251,125,38,37
0500000US13173,"Lanier County, Georgia",3724,200,2382,240,1795,253,569,159,18,33,0,21,0,21,1342,223,856,214,486,171,0,21,0,21,0,21
0500000US13195,"Madison County, Georgia",10712,292,8129,345,6335,348,1603,255,166,112,22,26,3,7,2583,280,1599,263,874,174,110,65,0,25,0,25
0500000US13147,"Hart County, Georgia",10019,419,7633,356,6301,366,1278,252,11,18,43,54,0,25,2386,349,1413,263,929,245,13,22,31,35,0,25
0500000US13191,"McIntosh County, Georgia",6033,368,4691,360,3827,392,783,198,14,22,67,90,0,21,1342,278,959,242,383,180,0,21,0,21,0,21
0500000US13237,"Putnam County, Georgia",8660,387,6747,389,5713,378,1001,186,33,40,0,25,0,25,1913,309,1195,279,669,193,49,49,0,25,0,25
0500000US13301,"Warren County, Georgia",2332,117,1578,117,1396,108,182,68,0,19,0,19,0,19,754,117,419,84,312,87,23,21,0,19,0,19
0500000US13029,"Bryan County, Georgia",12636,264,8826,367,6776,365,2010,259,32,33,0,28,8,13,3810,402,2362,324,1366,275,44,50,38,58,0,28
0500000US13039,"Camden County, Georgia",19327,427,11997,485,9366,429,2443,258,177,83,11,20,0,31,7330,506,3580,448,3478,478,248,148,24,41,0,31
0500000US13099,"Early County, Georgia",4082,156,2688,186,2071,169,571,137,46,40,0,21,0,21,1394,167,761,149,456,97,58,45,54,40,65,56
0500000US13069,"Coffee County, Georgia",14298,452,9422,542,7399,475,1822,307,122,63,36,41,43,46,4876,431,3182,417,1607,297,78,56,9,17,0,28
0500000US13123,"Gilmer County, Georgia",11645,558,8715,476,6837,473,1806,358,37,48,17,25,18,29,2930,414,1807,305,975,266,32,36,100,91,16,25
0500000US13317,"Wilkes County, Georgia",3879,162,2548,175,2091,176,446,126,3,5,8,11,0,19,1331,203,903,156,428,105,0,19,0,19,0,19
0500000US13129,"Gordon County, Georgia",20294,381,12987,502,9418,470,3448,407,57,42,60,75,4,6,7307,507,3715,431,2983,343,471,176,62,74,76,64
0500000US13057,"Cherokee County, Georgia",85825,705,65701,988,54249,1088,11003,704,374,162,60,49,15,25,20124,918,12027,775,7080,700,805,267,151,156,61,45
0500000US13177,"Lee County, Georgia",10354,225,7493,323,5497,364,1961,250,18,29,17,27,0,25,2861,327,1737,341,1005,223,98,84,21,29,0,25
0500000US13133,"Greene County, Georgia",7004,268,4995,246,4353,237,608,138,24,19,6,8,4,7,2009,262,1374,238,626,150,2,3,7,13,0,21
0500000US13075,"Cook County, Georgia",6233,201,4190,207,3284,217,891,178,11,20,4,6,0,21,2043,227,1243,190,681,153,102,80,9,16,8,13
0500000US13121,"Fulton County, Georgia",400016,1948,206043,2575,180457,2431,24382,1005,776,210,348,122,80,59,193973,2534,135426,2505,52343,2030,3913,486,1780,342,511,314
0500000US13187,"Lumpkin County, Georgia",11649,364,7912,414,6375,445,1495,291,42,49,0,28,0,28,3737,443,2044,355,1585,339,74,74,34,54,0,28
0500000US13201,"Miller County, Georgia",2300,129,1543,125,1233,108,285,99,25,18,0,19,0,19,757,111,420,104,216,58,28,26,56,41,37,33
0500000US13219,"Oconee County, Georgia",13093,255,10827,377,8778,404,1907,214,55,62,83,85,4,4,2266,360,1674,296,513,182,79,61,0,28,0,28
0500000US13151,"Henry County, Georgia",73826,793,52832,1080,41128,1047,11242,745,370,171,92,86,0,31,20994,1028,12890,979,7720,691,319,191,53,41,12,20
0500000US13183,"Long County, Georgia",5601,251,3898,308,2741,277,1121,246,36,42,0,21,0,21,1703,314,953,240,673,228,36,36,41,36,0,21
0500000US13257,"Stephens County, Georgia",9468,412,6607,450,4903,367,1547,263,157,140,0,25,0,25,2861,416,1908,350,921,279,20,25,12,19,0,25
0500000US13293,"Upson County, Georgia",10204,349,6715,344,5207,319,1459,221,41,33,8,13,0,25,3489,329,2378,329,984,230,73,58,54,50,0,25
0500000US13225,"Peach County, Georgia",10103,291,6387,396,5107,404,1212,237,51,55,9,14,8,16,3716,402,2338,357,1265,322,66,45,17,29,30,38
0500000US13229,"Pierce County, Georgia",7072,252,5388,317,4140,303,1200,261,22,22,16,26,10,18,1684,330,1140,280,518,187,0,21,0,21,26,43
0500000US13251,"Screven County, Georgia",5257,205,3778,195,2928,218,785,152,24,25,30,41,11,14,1479,192,1019,162,375,105,48,47,32,43,5,8
0500000US13011,"Banks County, Georgia",6603,196,5006,225,3965,203,966,157,69,46,6,12,0,21,1597,204,888,175,630,163,31,28,48,46,0,21
0500000US13061,"Clay County, Georgia",1202,129,769,109,604,110,152,51,13,18,0,13,0,13,433,111,306,105,119,43,8,12,0,13,0,13
0500000US13089,"DeKalb County, Georgia",277757,1421,150840,1915,128904,1762,20540,1037,1127,250,176,83,93,60,126917,1773,82771,1720,38757,1656,3945,546,1166,270,278,107
0500000US13157,"Jackson County, Georgia",22034,445,17085,583,13441,617,3452,401,142,86,38,33,12,15,4949,446,2964,322,1841,347,113,68,31,43,0,31
0500000US13181,"Lincoln County, Georgia",3424,196,2477,182,2112,178,355,100,7,12,0,19,3,5,947,155,666,136,228,92,43,50,0,19,10,17
