County,State,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%)
Franklin County,Virginia,0500000US51067,56233,6266,35253.0,5082,561,28866.0,50054,89.6,0.04592278393351801,0.0055834487534626035
King and Queen County,Virginia,0500000US51097,7052,2226,4331.0,671,86,27306.0,6185,87.7,0.03043170559094126,0.014154281670205236
Montgomery County,Virginia,0500000US51121,97997,13829,54826.0,12275,1233,28920.0,91075,93.6,0.05115125553081758,0.005298311867654933
New Kent County,Virginia,0500000US51127,21103,3902,17694.0,2673,144,36458.0,19367,94.3,0.021408305390766057,0.003740005158627805
Cumberland County,Virginia,0500000US51049,9786,3579,6409.0,658,9,25177.0,8428,86.2,0.0868029270754479,0.008831693161746153
Goochland County,Virginia,0500000US51075,22482,4512,17669.0,4222,122,47806.0,20351,95.4,0.018870163778779966,0.00866366009969143
Halifax County,Virginia,0500000US51083,34779,13718,21560.0,2543,232,22716.0,30824,90.5,0.07743315508021391,0.003279857397504456
Madison County,Virginia,0500000US51113,13139,1871,8254.0,1457,95,30351.0,11341,87.4,0.04056715242221347,0.013784954706577392
Prince William County,Virginia,0500000US51153,456749,193008,366510.0,69487,41881,39262.0,397647,88.6,0.025015483402504396,0.014828472375474291
Southampton County,Virginia,0500000US51175,17939,6804,11793.0,1581,3,25643.0,15210,93.0,0.0671573137074517,0.0019932536031892056
Highland County,Virginia,0500000US51091,2214,11,1441.0,252,0,30967.0,2015,91.0,0.07212822796081923,0.0026714158504007124
Brunswick County,Virginia,0500000US51025,16665,9703,8033.0,1089,153,20657.0,13521,91.7,0.09788359788359788,0.000992063492063492
Caroline County,Virginia,0500000US51033,30184,10310,20928.0,2966,303,31536.0,26039,93.0,0.04774997708734305,0.011914581614884063
Gloucester County,Virginia,0500000US51073,37161,4501,28899.0,3599,35,33295.0,33460,91.5,0.04058540551527881,0.004742868758045938
Northampton County,Virginia,0500000US51131,11957,4522,7133.0,1180,327,26467.0,10140,86.9,0.09668025626092021,0.0052417006406523005
Patrick County,Virginia,0500000US51141,17859,1384,10474.0,1143,149,23016.0,15462,88.2,0.04632400780741704,0.01600520494469746
Powhatan County,Virginia,0500000US51145,28574,3854,21814.0,4351,125,35641.0,24270,93.7,0.013656907054431126,0.001375515818431912
Rockbridge County,Virginia,0500000US51163,22509,1440,14561.0,2575,163,31594.0,20195,90.5,0.0322975832498051,0.0036752422318743734
Shenandoah County,Virginia,0500000US51171,43045,2621,28814.0,4154,1145,28064.0,38779,90.8,0.062142650880739246,0.0041004909038406005
Fauquier County,Virginia,0500000US51061,69115,9046,59414.0,10761,1832,44724.0,63296,92.1,0.025233222372909217,0.004109645337607364
Charles City County,Virginia,0500000US51036,6995,3979,4842.0,455,15,37059.0,6343,90.9,0.06197478991596639,0.007352941176470588
Culpeper County,Virginia,0500000US51047,50450,12011,36142.0,5113,1988,30812.0,44516,90.6,0.05034609240963143,0.011122285984736437
Dinwiddie County,Virginia,0500000US51053,28308,10039,18675.0,2234,274,27106.0,25233,90.2,0.04417284188239823,0.0072177846213069006
Greene County,Virginia,0500000US51079,19410,2528,13648.0,1971,226,32565.0,16963,88.3,0.02827239363871143,0.014951746635857006
Hanover County,Virginia,0500000US51085,104449,14040,88003.0,18675,830,39604.0,98708,94.9,0.024612036581258583,0.0032384258659550764
Lunenburg County,Virginia,0500000US51111,12278,4626,6105.0,709,157,18677.0,9816,86.7,0.07134610944354652,0.012699145693835142
Orange County,Virginia,0500000US51137,35612,6436,25104.0,3666,711,31362.0,31559,90.0,0.0358284397532149,0.010406600758195198
Harrisonburg city,Virginia,0500000US51660,53391,10112,23104.0,5489,4890,21793.0,45215,85.8,0.09064885496183206,0.007335400763358779
Emporia city,Virginia,0500000US51595,5381,3997,2339.0,373,5,18694.0,4195,81.2,0.1996224634261444,0.0
Wythe County,Virginia,0500000US51197,28940,1501,18178.0,2382,39,26513.0,26081,90.7,0.07319113341698034,0.0075282308657465494
Chesapeake city,Virginia,0500000US51550,237820,91866,181918.0,32013,4106,33844.0,208317,92.5,0.03895286714947169,0.0038228659622462306
Albemarle County,Virginia,0500000US51003,106355,19616,77198.0,19727,2877,42085.0,97098,92.7,0.04646409928100069,0.0049492760760366395
Bedford County,Virginia,0500000US51019,77908,8141,58939.0,9901,571,31796.0,71267,91.9,0.034224187656219957,0.006024482471319618
Botetourt County,Virginia,0500000US51023,33222,2135,25455.0,4313,229,33983.0,31280,95.1,0.03745915963832536,0.002811336524580199
Wise County,Virginia,0500000US51195,39025,3027,19147.0,2451,95,21828.0,32692,88.9,0.10055533518445062,0.008594473092688086
Bristol city,Virginia,0500000US51520,16843,2039,8712.0,1802,33,22900.0,14738,88.5,0.11240205349905431,0.0
Portsmouth city,Virginia,0500000US51740,95311,57035,56241.0,8784,905,25179.0,80416,89.1,0.11280195223602314,0.003920923473444655
Williamsburg city,Virginia,0500000US51830,14788,3766,6615.0,1953,92,29203.0,13725,94.2,0.08993576017130621,0.0032119914346895075
Alleghany County,Virginia,0500000US51005,15286,1221,9160.0,1172,50,26918.0,13974,93.0,0.06289867972110963,0.008900756564307966
Carroll County,Virginia,0500000US51035,29738,778,19103.0,2177,327,24868.0,26050,88.1,0.047595959595959594,0.010505050505050505
Washington County,Virginia,0500000US51191,54406,2090,33788.0,5459,249,26085.0,48716,90.9,0.047870673055393845,0.0028211902736106757
Northumberland County,Virginia,0500000US51133,12223,3629,8427.0,1704,6,34006.0,10938,89.5,0.03552585297221245,0.004045022863172705
Page County,Virginia,0500000US51139,23749,1073,14157.0,1566,109,25021.0,20591,87.5,0.04304990361961876,0.002034696937245663
Warren County,Virginia,0500000US51187,39449,4002,28635.0,3963,436,31007.0,34615,88.5,0.052715766047708466,0.007302315877321094
Alexandria city,Virginia,0500000US51510,156505,59414,121299.0,34226,12680,59239.0,134096,87.6,0.09159890824390174,0.004144100372969034
Fredericksburg city,Virginia,0500000US51630,28469,10635,19205.0,4064,1187,34722.0,25209,89.2,0.07824607824607825,0.004252504252504253
Hampton city,Virginia,0500000US51650,135583,79417,87970.0,14641,2091,28384.0,117579,90.5,0.08839851024208566,0.003910614525139665
Arlington County,Virginia,0500000US51013,231803,66194,194306.0,60173,18715,69051.0,212324,93.4,0.12614118186332557,0.004545628175254975
Hopewell city,Virginia,0500000US51670,22408,10990,11817.0,1377,399,22038.0,19737,89.5,0.08615250734254323,0.0004351136734471881
Buchanan County,Virginia,0500000US51027,22138,1055,10164.0,1108,63,18865.0,18336,86.4,0.07282155337616954,0.0073272460827415176
Frederick County,Virginia,0500000US51069,85153,7665,67020.0,9665,2699,33961.0,75624,90.1,0.03441707293449133,0.010880444257902043
Stafford County,Virginia,0500000US51179,144012,46082,119517.0,21350,4544,40850.0,128313,92.6,0.019750474874805732,0.003216197547919185
York County,Virginia,0500000US51199,67587,16576,55915.0,10923,1301,39071.0,60724,94.9,0.02201730511435187,0.0017061380346914733
Richmond city,Virginia,0500000US51760,223787,122289,117872.0,35183,7213,31635.0,191417,86.6,0.16896689891592281,0.0013801393495536808
Nelson County,Virginia,0500000US51125,14812,2333,10322.0,1918,96,36002.0,13080,88.6,0.06749418153607448,0.0021722265321955005
Pittsylvania County,Virginia,0500000US51143,61676,15466,36667.0,4169,670,24443.0,54615,90.3,0.053209266995822256,0.007406000759589822
Norton city,Virginia,0500000US51720,3990,393,2037.0,320,0,20917.0,3538,89.9,0.12314458493677845,0.006597031335898846
Fluvanna County,Virginia,0500000US51065,26282,5076,21307.0,3637,154,39900.0,23185,92.8,0.027636659215606586,0.004267425320056899
Amelia County,Virginia,0500000US51007,12854,3116,8648.0,873,86,29114.0,11335,88.8,0.032992273961160994,0.017331384422635206
Winchester city,Virginia,0500000US51840,27789,5436,17376.0,3492,2104,29727.0,23292,84.5,0.08897100625355316,0.0
Accomack County,Virginia,0500000US51001,32742,10370,18125.0,2619,1555,24355.0,26992,83.2,0.10088799343332587,0.0007462129691814044
Floyd County,Virginia,0500000US51063,15666,670,9800.0,1521,160,26134.0,14499,93.2,0.03966049382716049,0.0070987654320987656
Grayson County,Virginia,0500000US51077,15811,1193,8220.0,1130,130,20930.0,13270,88.6,0.06297768266585142,0.007337205747477835
Nottoway County,Virginia,0500000US51135,15500,6693,7462.0,929,183,23109.0,12356,88.5,0.0694695055936485,0.021111512089498376
Harrison County,WestVirginia,0500000US54033,68209,3060,44130.0,6793,104,27869.0,63031,93.3,0.07971278612042572,0.008711182388103223
Ohio County,WestVirginia,0500000US54069,42547,2950,26279.0,5666,129,30258.0,39830,94.9,0.11780300847213417,0.0031122125525906287
Calhoun County,WestVirginia,0500000US54013,7396,57,3810.0,443,3,19911.0,6897,93.5,0.08100558659217877,0.0024441340782122905
Morgan County,WestVirginia,0500000US54065,17624,554,11742.0,1250,122,27642.0,16553,94.6,0.047446274072006696,0.012140664247837009
Raleigh County,WestVirginia,0500000US54081,76232,9047,42465.0,6271,385,24170.0,68121,92.2,0.08406439795623252,0.007680195379028889
Braxton County,WestVirginia,0500000US54007,14282,304,7856.0,1094,16,21596.0,13251,95.1,0.0943361864869787,0.011473319978146056
Barbour County,WestVirginia,0500000US54001,16730,673,8935.0,1199,59,22237.0,15676,94.6,0.10504987531172069,0.0
McDowell County,WestVirginia,0500000US54047,19217,2133,6755.0,427,89,14489.0,16093,90.9,0.13967060044092855,0.013098171443392556
Wayne County,WestVirginia,0500000US54099,40708,905,22759.0,2674,64,21240.0,37244,91.8,0.1073485663649598,0.0025951009557566933
Wyoming County,WestVirginia,0500000US54109,21711,575,11169.0,806,0,20831.0,20056,92.7,0.09871925648872265,0.011900714042842571
Jackson County,WestVirginia,0500000US54035,29018,715,18974.0,2242,58,24661.0,27150,94.1,0.07890499194847021,0.008677759885489354
Mercer County,WestVirginia,0500000US54055,60486,5348,32134.0,5570,366,21821.0,56057,93.4,0.10075556627280766,0.00430029740374568
Upshur County,WestVirginia,0500000US54097,24605,750,12887.0,1683,22,21701.0,22565,92.4,0.07858818511409682,0.01364896566432075
Webster County,WestVirginia,0500000US54101,8518,26,3908.0,290,0,20507.0,7979,94.3,0.14563106796116504,0.003935974809761217
Berkeley County,WestVirginia,0500000US54003,113495,14722,79602.0,10900,1203,28736.0,105803,93.6,0.05009598260748896,0.010315239262668547
Fayette County,WestVirginia,0500000US54019,44126,2907,24031.0,3409,154,21466.0,39966,92.9,0.0837875807811183,0.009890418656926104
Grant County,WestVirginia,0500000US54023,11641,329,6957.0,769,106,22828.0,10641,92.3,0.08252853380158033,0.006365232660228271
Hampshire County,WestVirginia,0500000US54027,23363,683,13229.0,1245,56,23011.0,20826,91.1,0.06209251785159888,0.013867328986857084
Summers County,WestVirginia,0500000US54089,13018,887,6626.0,820,24,20784.0,11685,96.8,0.08507924940790672,0.014210238659136456
Brooke County,WestVirginia,0500000US54009,22772,825,14701.0,2005,23,25537.0,21302,94.6,0.08064678115898363,0.00230993271065582
Doddridge County,WestVirginia,0500000US54017,8536,329,5039.0,764,19,22598.0,7294,93.3,0.044578768417075934,0.014355874574990555
Mineral County,WestVirginia,0500000US54057,27278,1392,16526.0,1606,319,23546.0,25190,93.1,0.09146995708154507,0.00357653791130186
Greenbrier County,WestVirginia,0500000US54025,35347,2133,20233.0,3369,104,23936.0,32497,93.5,0.08655544651619235,0.0053647366699378475
Hardy County,WestVirginia,0500000US54031,13842,1184,8085.0,853,523,26596.0,13004,94.3,0.05017207027712371,0.0010867596449918493
Marion County,WestVirginia,0500000US54049,56497,3554,34378.0,5762,352,25909.0,52949,94.4,0.07357684595937582,0.008325342167204253
Mingo County,WestVirginia,0500000US54059,24741,1027,11291.0,857,16,19025.0,23554,95.5,0.1349795766802822,0.008540660972892685
Hancock County,WestVirginia,0500000US54029,29680,1447,18990.0,2604,62,25637.0,27553,93.6,0.08931243600850594,0.005355595810033867
Lewis County,WestVirginia,0500000US54041,16276,401,8906.0,904,83,22575.0,14886,92.5,0.0814961228523643,0.006081800212863008
Nicholas County,WestVirginia,0500000US54067,25324,736,14472.0,1590,0,21941.0,23663,94.0,0.08966768525592055,0.009931245225362872
Pocahontas County,WestVirginia,0500000US54075,8531,107,4713.0,693,22,24109.0,7572,91.8,0.07208717518860017,0.003073484213467449
Tyler County,WestVirginia,0500000US54095,8909,182,5444.0,597,10,24422.0,8101,91.7,0.05609460278956944,0.00030321406913280777
Randolph County,WestVirginia,0500000US54083,29065,999,15380.0,1941,25,24162.0,25125,92.1,0.09365558912386707,0.004620579349564599
Taylor County,WestVirginia,0500000US54091,16951,580,10437.0,1548,46,24258.0,15655,94.8,0.07761597357754091,0.0019516589100735625
Wirt County,WestVirginia,0500000US54105,5797,103,2923.0,227,0,21314.0,5432,93.7,0.0664265706282513,0.0
Clay County,WestVirginia,0500000US54015,8785,64,4239.0,384,11,16780.0,8348,95.5,0.08371665133394664,0.012266176019625881
Gilmer County,WestVirginia,0500000US54021,8205,1413,3572.0,520,146,17313.0,6297,91.1,0.07940074906367041,0.0
Monongalia County,WestVirginia,0500000US54061,105252,11033,62408.0,13782,732,30641.0,98091,94.6,0.08199505867819641,0.0036030471484455426
Monroe County,WestVirginia,0500000US54063,13467,405,7484.0,870,56,23412.0,12124,90.7,0.06476323119777158,0.004700557103064067
Wetzel County,WestVirginia,0500000US54103,15614,408,8698.0,925,0,22789.0,14529,93.7,0.07706671193345782,0.0057715158716686475
Cabell County,WestVirginia,0500000US54011,95318,8875,52955.0,9278,295,24506.0,87047,92.8,0.1212778843242152,0.003810437064701726
Kanawha County,WestVirginia,0500000US54039,185710,21343,114713.0,19321,720,28405.0,172096,93.6,0.10362929113637222,0.005425683245842618
Pendleton County,WestVirginia,0500000US54071,7056,311,4009.0,426,19,24739.0,6530,94.9,0.05009511731135067,0.009511731135066582
Preston County,WestVirginia,0500000US54077,33837,2539,19396.0,2104,361,23337.0,28896,93.1,0.061132197367358476,0.013163207623354599
Kitsap County,Washington,0500000US53035,262475,49316,196734.0,37550,2536,35826.0,235410,95.0,0.05424839172945643,0.007446243434124845
King County,Washington,0500000US53033,2163257,758283,1691377.0,476448,119702,49298.0,2028051,94.3,0.1007258322580049,0.008616875397833016
Pend Oreille County,Washington,0500000US53051,13219,1338,8192.0,1351,74,26739.0,12112,92.4,0.04946385333794535,0.030439294361812523
San Juan County,Washington,0500000US53055,16473,1309,11695.0,3815,234,42307.0,15255,92.9,0.041744548286604365,0.017196261682242992
Whitman County,Washington,0500000US53075,48593,8460,22733.0,6083,1167,22585.0,46239,95.6,0.08458961474036851,0.003964265773310999
Yakima County,Washington,0500000US53077,249325,54529,131476.0,14754,35164,22459.0,213077,86.5,0.05376670716889429,0.03605103280680438
Cowlitz County,Washington,0500000US53015,105112,11174,66462.0,7409,1896,27264.0,98030,94.2,0.07358021112641012,0.016836968862477958
Ferry County,Washington,0500000US53019,7576,1821,4186.0,687,85,23640.0,6899,91.9,0.052954472069744914,0.041653212786567646
Lewis County,Washington,0500000US53041,76947,7200,48656.0,5664,1995,25813.0,69902,91.8,0.059183133963386425,0.011466525675764986
Grays Harbor County,Washington,0500000US53027,71967,8624,41746.0,5506,1704,25374.0,63251,91.6,0.06987934755687648,0.011039167816579981
Island County,Washington,0500000US53029,81636,12450,60361.0,12086,1199,35364.0,71916,94.5,0.03666627866371784,0.0077406588290071
Wahkiakum County,Washington,0500000US53069,4189,333,3138.0,344,23,29452.0,3846,92.8,0.01193058568329718,0.015726681127982648
Franklin County,Washington,0500000US53021,90660,26683,54698.0,5780,15577,23373.0,75396,85.1,0.03761969904240766,0.035795713634290925
Grant County,Washington,0500000US53025,94860,28055,54414.0,6770,14359,23633.0,81557,86.5,0.04698052265831457,0.025937163550944504
Whatcom County,Washington,0500000US53073,216812,34869,143334.0,31589,5296,30586.0,201328,93.5,0.07179324298889517,0.009269715791454922
Okanogan County,Washington,0500000US53047,41638,11215,21919.0,3614,3232,23961.0,36005,87.6,0.04455982198893136,0.01317966565869801
Kittitas County,Washington,0500000US53037,44825,5104,27851.0,6157,799,27948.0,41362,93.2,0.03893795478531356,0.005165805699050158
Benton County,Washington,0500000US53005,194168,35889,134284.0,23060,11528,31580.0,178058,92.4,0.046165983404477126,0.01227054365129679
Columbia County,Washington,0500000US53013,4001,351,2664.0,494,119,31206.0,3752,95.1,0.08475540386803185,0.00739476678043231
Asotin County,Washington,0500000US53003,22337,1605,14191.0,2248,124,27896.0,20514,92.7,0.0439428633736779,0.008286991603969033
Garfield County,Washington,0500000US53023,2224,184,1522.0,299,4,25539.0,2083,94.6,0.015045135406218655,0.006018054162487462
Mason County,Washington,0500000US53045,62627,10317,39751.0,5647,2003,27253.0,56467,91.9,0.03564903335457829,0.012577012959422137
Stevens County,Washington,0500000US53065,44214,4951,27523.0,3654,258,25197.0,40619,92.4,0.04445591693913842,0.010784145012332932
Spokane County,Washington,0500000US53063,497875,59037,322989.0,64645,7498,29982.0,461240,94.4,0.07255313896487967,0.005511640443551028
Chelan County,Washington,0500000US53007,75757,11151,50273.0,8106,7119,29204.0,68424,91.1,0.056352093587274416,0.013981025750766816
Rock County,Wisconsin,0500000US55105,161769,19212,108269.0,15817,3253,28103.0,150450,93.8,0.058523660479097586,0.005841519724813288
Waushara County,Wisconsin,0500000US55137,24116,1691,15626.0,1843,409,27347.0,21135,92.2,0.05228493261728645,0.010335393656905462
Adams County,Wisconsin,0500000US55001,20073,1431,11557.0,1333,206,25591.0,17955,94.6,0.043972618633252115,0.009397841977027498
Bayfield County,Wisconsin,0500000US55007,14992,2084,9884.0,2262,37,29886.0,13946,93.7,0.03346258796495764,0.011632916846186989
Lafayette County,Wisconsin,0500000US55065,16735,487,11516.0,1441,203,28198.0,15259,91.6,0.05195388531217248,0.012127564006587812
Monroe County,Wisconsin,0500000US55081,45502,3163,31368.0,4262,646,27729.0,40657,91.1,0.07348638307449921,0.01221021832095431
Pierce County,Wisconsin,0500000US55093,41603,1678,30618.0,4908,518,32525.0,39274,95.0,0.0368972473482137,0.006832823583002538
Wood County,Wisconsin,0500000US55141,73274,4232,49737.0,7100,554,30006.0,69250,95.3,0.05284540238796712,0.006109474337106528
Ashland County,Wisconsin,0500000US55003,15712,2519,8997.0,1421,32,23505.0,14543,93.8,0.09395050412465628,0.011915673693858845
Calumet County,Wisconsin,0500000US55015,49807,2667,40434.0,7325,441,34015.0,48147,97.0,0.03367915367710942,0.008023713395001788
Florence County,Wisconsin,0500000US55037,4337,62,2889.0,467,35,30674.0,4044,94.5,0.04975124378109453,0.022388059701492536
Clark County,Wisconsin,0500000US55019,34491,1268,21427.0,1762,895,24114.0,26574,78.1,0.09578125,0.02703125
Jefferson County,Wisconsin,0500000US55055,84652,5132,61203.0,10081,1537,30329.0,79938,95.0,0.037698533438812146,0.008002190713807582
Kenosha County,Wisconsin,0500000US55059,168330,24243,114278.0,19011,4366,30740.0,155532,93.5,0.0659697586049225,0.005707708559986125
Iron County,Wisconsin,0500000US55051,5715,196,3455.0,638,3,28550.0,5222,93.1,0.06160506160506161,0.006993006993006993
St. Croix County,Wisconsin,0500000US55109,87917,3655,73383.0,13969,702,37419.0,83363,95.7,0.029785591257349885,0.007424125438023401
Oconto County,Wisconsin,0500000US55083,37556,1291,27211.0,3131,219,29392.0,35505,95.2,0.031179422835633627,0.009096612296110414
Lincoln County,Wisconsin,0500000US55069,27848,870,20082.0,2613,30,29642.0,26048,95.6,0.05276161632262692,0.0039053160117956485
Waupaca County,Wisconsin,0500000US55135,51444,1885,35938.0,5086,511,30627.0,47140,94.3,0.051443879404286234,0.005630221576462042
Barron County,Wisconsin,0500000US55005,45252,2166,28799.0,4293,305,28326.0,41513,92.9,0.059085199916265436,0.010676156583629894
Sawyer County,Wisconsin,0500000US55113,16370,3745,9704.0,1822,43,30094.0,14757,91.7,0.05986376735656274,0.013230285564579513
Green Lake County,Wisconsin,0500000US55047,18757,689,12492.0,1764,396,27915.0,16839,90.7,0.07195967233774417,0.010964083175803403
Marquette County,Wisconsin,0500000US55077,15207,601,10170.0,1144,91,26068.0,14061,93.4,0.04189686924493554,0.010435850214855739
Marinette County,Wisconsin,0500000US55075,40537,1369,25422.0,3204,177,26959.0,37956,94.7,0.054586441951586066,0.0060114862326230475
Racine County,Wisconsin,0500000US55101,195398,37759,134748.0,21978,4173,30386.0,180322,94.5,0.07044669040636782,0.004699937159614579
Winnebago County,Wisconsin,0500000US55139,169926,13355,117340.0,22385,1746,33000.0,157218,95.3,0.055306171889473156,0.00478816638878201
Forest County,Wisconsin,0500000US55041,9018,1751,5553.0,643,34,24808.0,7798,88.6,0.04690990320178704,0.01538843385455448
Grant County,Wisconsin,0500000US55043,51828,1835,32263.0,4631,245,24974.0,47129,93.0,0.054739446420287614,0.010205659502087521
Rusk County,Wisconsin,0500000US55107,14183,546,8652.0,1092,53,24731.0,12775,90.9,0.05374490755249138,0.0161391413350047
Sheboygan County,Wisconsin,0500000US55117,115205,12387,84070.0,13472,1836,30151.0,107846,95.5,0.06073610553241866,0.009851383633173371
Langlade County,Wisconsin,0500000US55067,19164,856,12683.0,1428,100,26212.0,17710,93.4,0.060507330695834305,0.005585292064230859
Outagamie County,Wisconsin,0500000US55087,184754,18877,139088.0,25259,2311,32098.0,174978,95.4,0.04028952527177266,0.006552702647127366
Vernon County,Wisconsin,0500000US55123,30516,836,19190.0,2923,228,26726.0,25543,84.5,0.09155629139072848,0.02359271523178808
Columbia County,Wisconsin,0500000US55021,56954,2878,42951.0,6570,622,33012.0,52649,94.8,0.05014712063892392,0.006767549390500211
Kewaunee County,Wisconsin,0500000US55061,20360,637,15519.0,2154,206,30098.0,19522,96.5,0.04782714251031804,0.010196649672250545
Brown County,Wisconsin,0500000US55009,259786,38866,182193.0,35741,8685,31213.0,241570,94.1,0.05497776881488097,0.00643407949449262
Marathon County,Wisconsin,0500000US55073,135264,12408,98136.0,16255,2086,31879.0,126437,94.2,0.04917203893313108,0.011755783086841108
Oneida County,Wisconsin,0500000US55085,35345,1349,25873.0,4778,84,32784.0,33230,95.4,0.03687593325975459,0.004479646822047653
Trempealeau County,Wisconsin,0500000US55121,29438,2246,20759.0,2798,866,27733.0,26818,92.3,0.05253016085790885,0.007875335120643432
Washburn County,Wisconsin,0500000US55129,15689,695,10462.0,1787,54,29336.0,14639,94.4,0.041348060039648825,0.011045029736618521
Dodge County,Wisconsin,0500000US55027,87776,5777,61667.0,7317,745,28543.0,80192,96.0,0.050888599913307325,0.0047969946539517415
Walworth County,Wisconsin,0500000US55127,103013,6899,71994.0,12145,3239,30593.0,94237,92.1,0.05107500247696423,0.00963539086495591
Crawford County,Wisconsin,0500000US55023,16288,746,10517.0,1448,101,26038.0,14544,93.3,0.06255666364460562,0.011937141130250831
Manitowoc County,Wisconsin,0500000US55071,79407,4511,55845.0,8182,1082,28803.0,75517,95.6,0.06064474944142994,0.005193976148332995
Sauk County,Wisconsin,0500000US55111,63596,3565,45589.0,7256,729,29608.0,58930,93.7,0.052143020857208344,0.010161204064481625
Burnett County,Wisconsin,0500000US55013,15258,1296,9856.0,1611,40,28424.0,14100,93.2,0.0362864576201561,0.010817472271669177
Chippewa County,Wisconsin,0500000US55017,63635,3202,42954.0,6268,349,28277.0,57609,94.0,0.04861683343143025,0.012242495585638611
Door County,Wisconsin,0500000US55029,27439,984,20935.0,4349,242,36155.0,25983,95.8,0.03713246438314641,0.005607759927250682
Douglas County,Wisconsin,0500000US55031,43402,3088,29453.0,4966,129,28888.0,40146,93.8,0.07304439746300212,0.007082452431289641
Jackson County,Wisconsin,0500000US55053,20506,2556,12606.0,1319,176,26037.0,17622,90.8,0.06433254979586787,0.013608808610664358
Iowa County,Wisconsin,0500000US55049,23620,803,17996.0,2588,138,33674.0,22435,95.6,0.03751906456532791,0.004270462633451958
Ozaukee County,Wisconsin,0500000US55089,88284,5570,73409.0,18187,590,47980.0,84823,96.6,0.03486315789473684,0.00415438596491228
Richland County,Wisconsin,0500000US55103,17539,786,11608.0,1457,163,26379.0,16012,92.0,0.054419092578022556,0.011146079202727512
Campbell County,Wyoming,0500000US56005,47708,2351,35194.0,4506,859,33286.0,42756,90.6,0.03728270814272644,0.011722323879231474
Johnson County,Wyoming,0500000US56019,8515,664,6041.0,1192,34,34885.0,7267,86.2,0.08986415882967608,0.0007836990595611285
Natrona County,Wyoming,0500000US56025,80610,4725,57568.0,7920,812,33082.0,68702,86.5,0.03993790143374631,0.007762320781711364
Converse County,Wyoming,0500000US56009,13997,580,10686.0,1109,160,32069.0,12764,91.5,0.027076809725547983,0.008104623319211642
Niobrara County,Wyoming,0500000US56027,2448,170,1196.0,229,8,22688.0,1803,84.2,0.032719836400818,0.0010224948875255625
Teton County,Wyoming,0500000US56039,23059,2227,18316.0,6488,1444,53703.0,20690,90.0,0.02380432408822887,0.004695348329329548
Sweetwater County,Wyoming,0500000US56037,44117,3033,32513.0,4298,1218,32624.0,38607,88.0,0.02444710478230735,0.009136160292357129
Platte County,Wyoming,0500000US56031,8673,450,6051.0,888,138,31553.0,7710,90.0,0.028963414634146343,0.0
Park County,Wyoming,0500000US56029,29121,1636,22121.0,3965,241,35059.0,25431,88.0,0.036987559489020626,0.004258161476162645
Sheridan County,Wyoming,0500000US56033,30012,1478,21913.0,3427,217,34059.0,26708,90.3,0.04392431035792994,0.010867087164678166
Big Horn County,Wyoming,0500000US56003,11901,652,7852.0,1104,112,23978.0,9825,84.2,0.029372496662216287,0.010680907877169559
Crook County,Wyoming,0500000US56011,7410,342,5700.0,805,9,32256.0,6598,89.9,0.02838577291381669,0.009233926128590971
Albany County,Wyoming,0500000US56001,38102,3762,21352.0,5806,568,26665.0,35076,92.6,0.04748237349472765,0.0034941037000062393
Carbon County,Wyoming,0500000US56007,15477,1076,10264.0,1535,700,29890.0,13190,89.7,0.03248698943384324,0.012300898911843558
Goshen County,Wyoming,0500000US56015,13438,927,8968.0,1436,167,27739.0,11483,87.7,0.012862353618736801,0.006719139950086389
Uinta County,Wyoming,0500000US56041,20609,1357,13855.0,1356,322,27009.0,17917,87.8,0.039043309631544926,0.01396250808015514
Washakie County,Wyoming,0500000US56043,8129,836,5621.0,849,40,27556.0,6738,84.6,0.05026300409117475,0.013734658094681473
Hot Springs County,Wyoming,0500000US56017,4680,176,3166.0,515,10,32359.0,4073,88.9,0.03712086917157085,0.004074241738343142
Fremont County,Wyoming,0500000US56013,40076,10897,25192.0,4068,166,27598.0,32318,82.0,0.04599080183963208,0.0222622142238219
Sublette County,Wyoming,0500000US56035,9951,373,7763.0,1318,52,33231.0,8599,86.6,0.013435114503816794,0.004885496183206107
Weston County,Wyoming,0500000US56045,7100,530,4689.0,676,64,29152.0,5841,86.7,0.026453298497713912,0.007838014369693011
Hatillo Municipio,PuertoRico,0500000US72065,40390,921,10273.0,5171,25201,10659.0,38286,94.9,0.1268005392748173,0.008798694387284468
Humacao Municipio,PuertoRico,0500000US72069,53466,24200,13363.0,6355,34698,12093.0,51145,96.3,0.12242959320518551,0.023971837282074207
Morovis Municipio,PuertoRico,0500000US72101,31320,2315,6849.0,2822,20949,9715.0,29549,94.4,0.139897415267022,0.015186563411445237
Mayagüez Municipio,PuertoRico,0500000US72097,77255,55745,16262.0,8989,44484,10678.0,72501,94.5,0.20807702594276545,0.006519122760096282
Trujillo Alto Municipio,PuertoRico,0500000US72139,67780,12429,28489.0,11410,38116,15886.0,62012,91.9,0.11742139938287048,0.022183304144775248
Quebradillas Municipio,PuertoRico,0500000US72115,24036,3952,4442.0,2408,16186,9819.0,23212,96.6,0.1460294472604393,0.005551532705768767
Moca Municipio,PuertoRico,0500000US72099,36872,7557,6575.0,3575,24390,8806.0,35083,95.6,0.13947883717427323,0.008435005271878295
