GEO_ID,NAME,B25044_001E,B25044_001M,B25044_002E,B25044_002M,B25044_003E,B25044_003M,B25044_004E,B25044_004M,B25044_005E,B25044_005M,B25044_006E,B25044_006M,B25044_007E,B25044_007M,B25044_008E,B25044_008M,B25044_009E,B25044_009M,B25044_010E,B25044_010M,B25044_011E,B25044_011M,B25044_012E,B25044_012M,B25044_013E,B25044_013M,B25044_014E,B25044_014M,B25044_015E,B25044_015M
0500000US05133,"Sevier County, Arkansas",5854,177,4384,199,69,37,807,152,1895,223,1133,216,381,129,99,53,1470,214,182,67,638,148,382,124,144,82,70,55,54,56
0500000US05149,"Yell County, Arkansas",7491,268,5263,244,145,65,1083,189,1963,237,1347,243,411,134,314,107,2228,262,218,80,951,162,883,199,112,59,36,38,28,31
0500000US05013,"Calhoun County, Arkansas",1936,119,1618,122,60,45,398,81,557,99,426,99,150,57,27,28,318,82,51,25,158,59,74,54,21,17,14,21,0,17
0500000US05019,"Clark County, Arkansas",8505,274,5331,258,77,49,1125,206,2250,265,1185,176,536,126,158,70,3174,309,515,176,1536,240,932,199,117,66,62,52,12,20
0500000US05011,"Bradley County, Arkansas",4537,146,2836,172,94,42,774,147,1088,146,669,127,93,45,118,61,1701,186,330,105,773,127,523,164,40,31,23,23,12,16
0500000US05095,"Monroe County, Arkansas",3326,166,1994,142,66,41,711,112,822,116,289,75,72,43,34,28,1332,139,361,94,648,134,261,100,56,36,6,12,0,17
0500000US05113,"Polk County, Arkansas",8204,262,6217,254,232,87,1533,221,2756,271,1141,191,365,107,190,70,1987,240,299,125,943,211,549,137,161,69,35,26,0,22
0500000US05103,"Ouachita County, Arkansas",10055,389,6854,365,277,114,1859,282,2816,291,1299,219,451,138,152,74,3201,315,700,172,1784,271,623,153,80,63,14,17,0,22
0500000US05101,"Newton County, Arkansas",2899,200,2557,187,79,47,613,120,978,153,584,116,171,77,132,59,342,85,37,22,146,50,95,50,54,44,0,17,10,16
0500000US05081,"Little River County, Arkansas",5440,226,3934,230,159,113,865,185,1718,213,887,152,239,95,66,40,1506,228,292,126,659,207,329,87,175,104,5,8,46,65
0500000US05015,"Carroll County, Arkansas",11161,366,8480,321,218,86,2274,316,3359,363,1748,310,663,164,218,74,2681,300,372,139,1190,225,682,173,362,119,49,46,26,27
0500000US05091,"Miller County, Arkansas",16748,439,10671,372,388,117,2625,340,4683,419,2220,329,513,174,242,113,6077,471,935,220,2935,301,1843,339,236,137,84,71,44,38
0500000US06033,"Lake County, California",25966,628,17157,529,632,155,5133,460,6315,494,3157,416,1259,236,661,195,8809,596,1149,217,3762,396,2830,362,674,207,249,106,145,101
0500000US06043,"Mariposa County, California",7700,351,5310,266,75,41,1272,206,1890,226,1262,200,538,131,273,100,2390,335,173,85,955,226,767,209,299,112,164,90,32,43
0500000US06115,"Yuba County, California",26179,329,15387,550,429,172,3218,421,6089,419,3596,429,1317,254,738,181,10792,529,1423,274,4008,412,3595,391,1258,269,395,170,113,76
0500000US06013,"Contra Costa County, California",392277,1405,257528,2331,5884,483,53858,1534,108479,1843,57527,1789,22608,923,9172,651,134749,2097,15554,968,53409,1628,44501,1323,14445,901,4806,587,2034,323
0500000US06035,"Lassen County, California",9493,354,6445,286,185,83,1240,172,2396,239,1725,190,551,125,348,118,3048,279,375,112,1375,210,847,182,331,90,120,56,0,26
0500000US06083,"Santa Barbara County, California",144962,885,75640,988,1651,321,17150,740,29878,1035,16656,791,6758,584,3547,400,69322,1124,6401,522,27940,1047,23863,1028,7670,622,2534,388,914,242
0500000US06097,"Sonoma County, California",189339,918,115093,1553,2554,303,28324,987,47236,1339,23171,886,9230,598,4578,409,74246,1572,6669,568,28585,1157,25458,1038,9405,658,3170,456,959,195
0500000US06025,"Imperial County, California",44057,845,25717,822,639,151,5584,509,10482,691,5948,524,2223,342,841,202,18340,924,2603,360,7705,632,5528,613,1971,352,415,133,118,59
0500000US06051,"Mono County, California",4847,426,3014,302,47,39,995,238,1043,245,701,175,153,94,75,54,1833,327,80,65,948,257,562,206,205,112,0,19,38,68
0500000US06001,"Alameda County, California",572870,1547,305134,2469,9597,599,68142,1431,129653,1852,62841,1474,24495,860,10406,623,267736,2179,45219,1310,114785,1798,77974,1606,21555,980,6015,492,2188,308
0500000US06067,"Sacramento County, California",536029,1825,300082,2909,7292,481,76114,1330,128214,1962,58349,1387,21587,913,8526,677,235947,2352,30359,1077,104489,2063,73453,1868,19747,996,5799,640,2100,331
0500000US06055,"Napa County, California",49032,491,31256,625,794,179,7315,386,11810,503,7002,438,2953,311,1382,195,17776,645,1660,286,6590,473,5953,430,2571,354,786,190,216,86
0500000US06053,"Monterey County, California",126052,906,64362,918,1454,241,13676,610,24194,708,15252,558,6414,506,3372,353,61690,1002,4530,412,23240,922,23029,809,8043,509,2123,288,725,145
0500000US06091,"Sierra County, California",1241,141,1010,136,22,21,303,99,413,104,134,66,69,42,69,49,231,94,45,46,76,58,52,36,58,42,0,12,0,12
0500000US06073,"San Diego County, California",1118980,3147,593890,4386,12895,768,133687,2021,252592,3373,124301,2368,46618,1282,23797,1113,525090,3504,48591,1480,208191,3154,196260,2938,51606,1772,14317,825,6125,553
